Player,Team,ETV,Skill/Pot
Nélson Semedo,Wolverhampton,€8.4M,72.4/72.4
Rodrigo Muniz,Fulham,€8.2M,66.7/71.6
Adama Traoré,Fulham,€8M,68.7/68.7
Chris Wood,Nottingham,€7.8M,73.1/73.1
Ethan Pinnock,Brentford,€7.6M,70.5/70.5
Lewis Dunk,Brighton,€7.4M,69.6/71.0
Joe Aribo,Southampton,€6.9M,63.3/64.1
Danny Welbeck,Brighton,€6M,72.1/72.1
Abdoulaye Doucouré,Everton,€5.8M,69.1/69.1
Stefan Ortega,Man City,€5.8M,61.7/61.7
Tyrone Mings,Aston Villa,€5.8M,69.5/69.5
Joël Veltman,Brighton,€5.7M,74.8/74.8
Ben Davies,Tottenham,€5.6M,66.4/66.4
Kieran Trippier,Newcastle Utd.,€5.1M,69.5/69.5
Raúl Jiménez,Fulham,€5.1M,68.8/68.8
Axel Tuanzebe,Ipswich Town,€4.2M,62.4/63.0
Christian Eriksen,Man Utd,€4.2M,66.9/66.9
Matt Doherty,Wolverhampton,€4.2M,68.1/68.1
Jordan Ayew,Leicester,€4.2M,65.5/66.4
Ryan Manning,Southampton,€3.9M,62.2/62.4
Conor Coady,Leicester,€2.2M,61.3/61.3
Wes Burns,Ipswich Town,€2.1M,64.4/64.4
Jannik Vestergaard,Leicester,€2M,61.7/61.7
Luke Woolfenden,Ipswich Town,€2M,65.0/68.3
Cameron Burgess,Ipswich Town,€1.7M,61.7/62.8
Alex Palmer,Ipswich Town,€1.6M,64.4/67.5
Adam Smith,B'mouth,€1.5M,68.5/68.7
Craig Dawson,Wolverhampton,€1.5M,64.4/64.4
Jack Stephens,Southampton,€1.4M,60.6/61.0
Ashley Young,Everton,€1.3M,72.5/72.5
Sam Morsy,Ipswich Town,€1.3M,65.0/65.6
Jamie Vardy,Leicester,€1M,67.3/69.5
Łukasz Fabiański,West Ham United,€0.9M,64.4/64.4
