Player,Nation,Squad,Position,Age,Minutes,Matches played,Starts,Goals,Assists,Yellow cards,Red cards,Expected: xG,Expected: xAG,Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90: Gls,Per 90: Ast,Per 90: xG,Per 90: xGA,Performance: GA90,Performance: Save%,Performance: CS%,Penalty Kicks: Save%,Standard: SoT%,Standard: SoT/90,Standard: G/Sh,Standard: Dist,Total: Cmp,Total: Cmp%,Total: TotDist,Short: Cmp%,Medium: Cmp%,Long: Cmp%,Expected: KP,Expected: 1/3,Expected: PPA,Expected: CrsPA,SCA,SCA90,GCA,GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches Att 3rd,Touches Att Pen,TakeOns: Att,TakeOns: Succ%,TakeOns: Tkld%,Carries: Carries,Carries: PrgDist,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerials: Won,Aerials: Lost,Aerials: Won%
Kristoffer Ajer,NOR,Brentford,DF,27,"1,405",22,17,0,0,5,0,0.8,1.2,27,54,42,0.00,0.00,0.05,N/a,N/a,N/a,N/a,N/a,37.5,0.19,0.00,10.2,489,78.1,2762,86.7,79.7,49.1,8,42,7,4,18,1.15,2,0.13,25,17,N/a,12,17,4,13,12,773,52,260,359,160,35,N/a,N/a,50.0,378,1172,11,2,N/a,N/a,481,12,6,1,14,42,27,22,55.1
Kyle Walker-Peters,ENG,Southampton,DF,28,"2,918",33,33,0,2,5,0,0.8,2.8,114,139,144,0.00,0.06,0.03,N/a,N/a,N/a,N/a,N/a,30.0,0.19,0.00,18.3,1493,88.2,6584,93.9,90.0,60.2,24,119,30,4,63,1.94,7,0.22,44,29,N/a,19,27,15,12,19,2022,151,615,884,540,59,N/a,N/a,42.4,1271,4373,72,24,N/a,N/a,1433,28,52,2,51,135,11,21,34.4
Kyle Walker,ENG,Manchester City,DF,34,970,15,9,0,0,3,0,0.1,0.4,12,64,11,0.00,0.00,0.01,N/a,N/a,N/a,N/a,N/a,40.0,0.19,0.00,27.7,724,87.7,3918,94.6,91.3,51.2,7,63,7,4,17,1.58,0,0.00,17,10,N/a,12,13,4,9,3,892,26,197,473,228,5,N/a,N/a,33.3,499,1106,13,0,N/a,N/a,630,6,5,1,14,46,9,7,56.3
Lamare Bogarde,NED,Aston Villa,"DF,MF",21,476,8,5,0,0,2,0,0.0,0.1,12,14,9,0.00,0.00,0.01,N/a,N/a,N/a,N/a,N/a,100.0,0.19,0.00,20.2,240,88.2,1154,92.8,92.2,33.3,2,24,1,0,10,1.89,1,0.19,14,6,N/a,6,5,3,2,1,325,16,95,191,40,4,N/a,N/a,25.0,173,599,6,1,N/a,N/a,212,8,11,0,0,13,6,6,50.0
Leandro Trossard,BEL,Arsenal,FW,30,"2,354",35,26,8,5,4,1,6.8,5.3,75,95,207,0.31,0.19,0.26,N/a,N/a,N/a,N/a,N/a,30.9,0.80,0.12,15.9,632,73.7,2777,85.2,76.3,51.2,37,41,43,9,80,3.06,6,0.23,26,17,N/a,22,31,0,31,9,1149,15,120,361,685,143,N/a,N/a,44.4,733,1942,49,29,N/a,N/a,857,25,43,6,79,93,6,22,21.4
Leif Davis,ENG,Ipswich Town,DF,25,"2,563",31,30,1,2,5,1,0.9,4.3,48,55,117,0.04,0.07,0.03,N/a,N/a,N/a,N/a,N/a,14.3,0.07,0.07,20.4,854,71.5,5905,86.0,77.4,37.3,54,30,26,11,85,2.98,4,0.14,45,26,N/a,17,24,8,16,25,1459,115,517,484,477,36,N/a,N/a,45.9,659,1940,27,10,N/a,N/a,770,25,30,3,148,111,33,22,60.0
Leny Yoro,FRA,Manchester Utd,DF,19,"1,114",20,11,0,0,5,0,0.7,0.1,19,52,4,0.00,0.00,0.06,N/a,N/a,N/a,N/a,N/a,20.0,0.08,0.00,8.6,667,92.1,3539,95.3,93.9,65.0,2,43,5,1,8,0.65,0,0.00,26,11,N/a,6,5,3,2,18,847,83,395,385,70,13,N/a,N/a,50.0,577,1646,13,1,N/a,N/a,615,9,2,1,1,45,16,15,51.6
Leon Bailey,JAM,Aston Villa,"FW,MF",27,"1,138",23,14,1,2,3,0,1.7,1.5,57,35,121,0.08,0.16,0.14,N/a,N/a,N/a,N/a,N/a,21.4,0.47,0.04,17.3,273,70.7,1048,81.4,81.1,47.4,16,16,20,2,38,3.01,4,0.32,6,4,N/a,8,6,0,6,3,539,18,76,155,318,69,N/a,N/a,42.1,344,1334,22,33,N/a,N/a,386,12,18,3,34,59,6,9,40.0
Lesley Ugochukwu,FRA,Southampton,MF,21,"1,525",24,16,1,1,6,0,0.9,1.0,29,49,20,0.06,0.06,0.05,N/a,N/a,N/a,N/a,N/a,10.0,0.06,0.10,17.0,570,84.9,1944,88.2,91.5,59.5,14,52,7,1,23,1.36,1,0.06,49,24,N/a,15,26,9,17,14,838,46,199,478,167,24,N/a,N/a,26.9,459,1195,15,6,N/a,N/a,570,28,14,0,6,62,20,17,54.1
Levi Colwill,ENG,Chelsea,DF,22,"2,879",32,32,1,1,8,0,1.3,1.1,13,125,11,0.03,0.03,0.04,N/a,N/a,N/a,N/a,N/a,18.8,0.09,0.06,9.9,2211,89.6,14134,92.8,95.3,57.0,14,144,7,3,38,1.19,3,0.09,42,30,N/a,9,35,24,11,32,2728,344,1280,1330,129,35,N/a,N/a,40.0,1543,3886,11,1,N/a,N/a,1996,42,19,4,13,110,76,51,59.8
