Player,Nation,Squad,Position,Age,Minutes,Matches played,Starts,Goals,Assists,Yellow cards,Red cards,Expected: xG,Expected: xAG,Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90: Gls,Per 90: Ast,Per 90: xG,Per 90: xGA,Performance: GA90,Performance: Save%,Performance: CS%,Penalty Kicks: Save%,Standard: SoT%,Standard: SoT/90,Standard: G/Sh,Standard: Dist,Total: Cmp,Total: Cmp%,Total: TotDist,Short: Cmp%,Medium: Cmp%,Long: Cmp%,Expected: KP,Expected: 1/3,Expected: PPA,Expected: CrsPA,SCA,SCA90,GCA,GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches Att 3rd,Touches Att Pen,TakeOns: Att,TakeOns: Succ%,TakeOns: Tkld%,Carries: Carries,Carries: PrgDist,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerials: Won,Aerials: Lost,Aerials: Won%
Robin Olsen,SWE,Aston Villa,GK,35,180,3,1,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,54,71.1,983,100.0,100.0,37.1,0,2,0,0,2,1.00,1,0.50,1,0,N/a,0,0,0,0,0,83,73,82,1,0,0,N/a,N/a,N/a,44,109,0,0,N/a,N/a,41,0,0,0,0,2,0,0,N/a
Rodrigo Bentancur,URU,Tottenham,MF,27,"1,518",23,19,2,0,7,0,1.3,0.4,26,99,34,0.12,0.00,0.08,N/a,N/a,N/a,N/a,N/a,22.7,0.30,0.09,17.4,916,88.1,3593,91.1,92.7,75.4,10,107,12,2,45,2.67,3,0.18,38,20,N/a,20,24,8,16,36,1252,70,299,747,215,24,N/a,N/a,44.4,739,1446,23,5,N/a,N/a,826,31,10,1,4,111,35,27,56.5
Rodrigo Gomes,POR,Wolves,"DF,FW",21,672,22,6,2,0,0,0,0.6,0.9,22,25,65,0.27,0.00,0.08,N/a,N/a,N/a,N/a,N/a,50.0,0.40,0.33,17.3,171,67.1,888,78.4,70.5,26.1,12,10,12,4,21,2.82,0,0.00,21,13,N/a,9,8,1,7,5,348,23,85,118,152,26,N/a,N/a,42.9,178,750,17,7,N/a,N/a,203,3,5,0,19,24,6,15,28.6
Rodrigo Muniz,BRA,Fulham,FW,24,964,31,8,8,1,1,0,5.8,0.7,6,27,31,0.75,0.09,0.54,N/a,N/a,N/a,N/a,N/a,48.7,1.77,0.21,12.0,92,64.8,528,67.6,68.9,84.6,7,13,3,0,17,1.59,2,0.19,10,5,N/a,0,9,2,7,5,311,14,27,161,127,55,N/a,N/a,50.0,157,187,4,3,N/a,N/a,237,11,31,3,1,14,67,63,51.5
Roméo Lavia,BEL,Chelsea,MF,21,684,13,10,0,1,4,0,0.2,0.7,3,24,7,0.00,0.13,0.02,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,16.0,325,91.3,1477,90.7,95.1,81.8,7,42,3,0,13,1.71,2,0.26,21,13,N/a,10,6,0,6,14,416,15,96,266,60,1,N/a,N/a,38.5,248,481,8,0,N/a,N/a,298,13,5,0,0,35,10,2,83.3
Ross Barkley,ENG,Aston Villa,MF,31,571,18,3,3,1,3,0,1.7,0.6,15,33,10,0.47,0.16,0.27,N/a,N/a,N/a,N/a,N/a,33.3,0.79,0.20,14.0,326,86.0,1191,88.5,91.4,68.4,9,29,6,0,18,2.84,3,0.47,14,3,N/a,5,9,3,6,10,446,16,70,265,117,18,N/a,N/a,27.3,263,657,14,2,N/a,N/a,314,8,3,0,1,41,6,4,60.0
Ross Stewart,SCO,Southampton,FW,28,286,9,3,0,0,1,0,0.3,0.0,1,1,6,0.00,0.00,0.08,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,11.6,49,73.1,66,77.4,81.5,0.0,0,1,1,0,2,0.63,0,0.00,3,2,N/a,4,3,0,3,0,96,7,21,36,39,6,N/a,N/a,50.0,49,63,0,1,N/a,N/a,72,7,5,1,0,2,8,15,34.8
Ryan Yates,ENG,Nott'ham Forest,MF,27,"1,874",32,18,2,1,10,0,2.3,1.1,17,48,14,0.10,0.05,0.11,N/a,N/a,N/a,N/a,N/a,28.1,0.43,0.06,19.3,592,81.7,1885,87.7,85.8,56.6,17,46,4,0,36,1.73,3,0.14,41,21,N/a,20,35,9,26,26,1001,77,266,488,257,40,N/a,N/a,27.8,408,888,18,1,N/a,N/a,526,52,49,6,5,95,44,30,59.5
Ryan Sessegnon,ENG,Fulham,"FW,DF",24,470,13,6,4,2,1,0,1.6,1.0,14,14,51,0.77,0.38,0.30,N/a,N/a,N/a,N/a,N/a,53.8,1.34,0.31,12.6,124,76.5,455,86.3,71.1,60.0,10,7,3,1,17,3.25,3,0.57,21,11,N/a,9,11,0,11,3,260,10,58,83,124,38,N/a,N/a,58.8,129,434,11,9,N/a,N/a,149,16,4,1,13,25,8,10,44.4
Ryan Manning,IRL,Southampton,"DF,MF",28,"1,459",23,18,0,1,2,0,0.3,3.2,14,35,74,0.00,0.06,0.02,N/a,N/a,N/a,N/a,N/a,12.5,0.06,0.00,22.0,619,77.2,3336,92.2,80.9,44.4,34,33,12,8,50,3.08,3,0.18,28,17,N/a,12,20,11,9,17,965,70,258,396,321,22,N/a,N/a,44.4,482,977,13,4,N/a,N/a,572,19,32,0,84,65,15,5,75.0
Ryan Gravenberch,NED,Liverpool,MF,22,"2,921",34,34,0,4,5,0,1.0,2.9,65,168,54,0.00,0.12,0.03,N/a,N/a,N/a,N/a,N/a,27.8,0.15,0.00,24.7,1595,88.9,5935,92.5,91.7,60.8,25,140,32,1,65,2.00,6,0.18,65,34,N/a,21,34,10,24,57,2176,104,446,1274,485,23,N/a,N/a,37.3,1286,3408,71,9,N/a,N/a,1548,42,46,0,6,182,26,14,65.0
Ryan Fraser,SCO,Southampton,"FW,DF",31,306,8,4,0,0,0,1,0.0,0.1,10,8,18,0.00,0.00,0.01,N/a,N/a,N/a,N/a,N/a,100.0,0.29,0.00,31.6,77,74.8,208,93.5,70.0,30.0,2,3,1,0,5,1.47,0,0.00,6,2,N/a,2,1,1,0,1,131,12,45,50,37,3,N/a,N/a,33.3,74,252,5,2,N/a,N/a,94,1,4,1,12,10,2,3,40.0
Ryan Christie,SCO,Bournemouth,MF,30,"2,117",29,27,2,3,9,0,1.8,3.5,34,137,44,0.09,0.13,0.08,N/a,N/a,N/a,N/a,N/a,36.4,0.51,0.06,19.6,837,79.3,4269,88.2,87.9,48.8,41,118,33,5,85,3.62,9,0.38,54,33,N/a,37,44,11,33,30,1376,74,256,773,372,46,N/a,N/a,45.8,726,1773,40,8,N/a,N/a,777,43,31,1,48,182,20,28,41.7
Rúben Dias,POR,Manchester City,DF,27,"2,001",24,22,0,0,4,0,1.4,0.3,35,122,6,0.00,0.00,0.06,N/a,N/a,N/a,N/a,N/a,27.8,0.22,0.00,19.2,1943,93.6,10768,97.0,96.3,66.9,5,189,5,0,22,0.99,1,0.04,16,10,N/a,4,17,14,3,18,2230,195,749,1231,255,22,N/a,N/a,33.3,1592,5295,54,1,N/a,N/a,1815,12,8,0,3,68,30,31,49.2
Sam Johnstone,ENG,Wolves,GK,32,630,7,7,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,184,66.2,4270,96.9,97.6,45.0,1,6,0,0,2,0.29,0,0.00,0,0,N/a,1,0,0,0,0,306,229,304,2,0,0,N/a,N/a,N/a,196,756,0,0,N/a,N/a,179,0,0,0,0,9,4,0,100.0
Sam Morsy,EGY,Ipswich Town,MF,33,"2,486",30,28,1,1,10,0,0.3,0.8,16,104,9,0.04,0.04,0.01,N/a,N/a,N/a,N/a,N/a,22.2,0.07,0.11,26.3,1103,86.2,4831,93.2,91.3,57.4,18,132,13,2,40,1.45,2,0.07,62,36,N/a,31,32,13,19,28,1498,88,447,855,210,4,N/a,N/a,33.3,761,1783,20,2,N/a,N/a,999,45,24,0,12,138,17,23,42.5
Sammie Szmodics,IRL,Ipswich Town,"FW,MF",29,979,19,13,4,0,2,0,3.4,0.2,16,18,46,0.37,0.00,0.31,N/a,N/a,N/a,N/a,N/a,57.1,1.10,0.19,14.0,144,74.2,702,87.0,84.4,51.7,4,10,4,1,9,0.83,0,0.00,15,9,N/a,17,10,2,8,6,309,17,80,119,116,33,N/a,N/a,50.0,174,399,8,7,N/a,N/a,189,9,8,8,13,41,6,11,35.3
Sander Berge,NOR,Fulham,MF,27,"2,091",28,24,0,0,5,0,0.2,0.6,27,116,8,0.00,0.00,0.01,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,7.6,1017,91.4,4321,91.7,94.6,83.5,17,105,4,0,41,1.76,2,0.09,48,28,N/a,12,26,8,18,20,1291,76,354,737,206,13,N/a,N/a,30.0,754,1856,22,2,N/a,N/a,836,29,8,0,3,118,27,20,57.4
Sandro Tonali,ITA,Newcastle Utd,MF,25,"2,360",33,25,3,2,5,0,3.7,1.4,33,116,48,0.11,0.08,0.14,N/a,N/a,N/a,N/a,N/a,31.3,0.38,0.09,19.6,1136,83.5,4534,89.8,87.0,61.8,20,91,26,4,61,2.32,8,0.30,47,30,N/a,22,32,10,22,33,1624,63,372,896,382,41,N/a,N/a,37.1,877,2014,34,5,N/a,N/a,1126,36,44,2,31,163,12,11,52.2
Santiago Bueno,URU,Wolves,DF,26,"1,683",28,18,0,0,2,0,0.4,0.0,1,28,1,0.00,0.00,0.02,N/a,N/a,N/a,N/a,N/a,50.0,0.16,0.00,14.0,741,88.0,4177,92.5,93.9,56.0,0,24,2,0,12,0.64,4,0.21,40,21,N/a,5,35,20,15,15,1023,169,520,485,21,6,N/a,N/a,100.0,555,1430,2,0,N/a,N/a,660,26,5,0,0,43,35,31,53.0
Saša Lukić,SRB,Fulham,MF,28,"2,169",28,26,0,2,12,0,1.2,2.6,37,92,29,0.00,0.08,0.05,N/a,N/a,N/a,N/a,N/a,11.8,0.08,0.00,20.1,1027,87.7,4245,91.9,92.0,70.3,23,97,15,6,50,2.08,3,0.12,66,37,N/a,32,19,7,12,26,1394,50,303,797,307,18,N/a,N/a,29.4,775,2083,39,4,N/a,N/a,897,62,26,0,55,107,18,24,42.9
Sean Longstaff,ENG,Newcastle Utd,MF,27,797,24,8,0,0,2,0,0.6,0.2,4,40,22,0.00,0.00,0.07,N/a,N/a,N/a,N/a,N/a,16.7,0.11,0.00,13.5,294,84.5,1171,87.0,92.5,68.2,4,26,1,0,14,1.58,2,0.23,27,16,N/a,9,17,5,12,7,433,23,122,193,121,21,N/a,N/a,57.1,248,429,10,2,N/a,N/a,308,9,6,0,5,31,7,7,50.0
Sepp van den Berg,NED,Brentford,DF,23,"2,316",28,26,0,0,2,0,1.7,0.5,10,72,27,0.00,0.00,0.07,N/a,N/a,N/a,N/a,N/a,31.3,0.19,0.00,10.6,958,84.7,5265,87.7,89.1,62.5,5,57,3,1,21,0.82,2,0.08,37,22,N/a,9,50,36,14,20,1430,252,728,547,159,42,N/a,N/a,42.9,636,1663,9,1,N/a,N/a,806,20,5,1,7,87,84,66,56.0
Sergio Reguilón,ESP,Tottenham,DF,28,123,3,0,0,0,2,0,0.1,0.0,4,12,10,0.00,0.00,0.05,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,5.4,73,69.5,410,75.0,76.6,33.3,1,11,2,1,1,0.73,0,0.00,4,3,N/a,1,4,0,4,2,121,2,28,61,33,3,N/a,N/a,0.0,64,180,2,1,N/a,N/a,74,2,5,0,10,9,5,2,71.4
Simon Adingra,CIV,Brighton,"FW,MF",23,956,26,10,2,1,0,0,2.2,1.8,37,14,119,0.19,0.09,0.21,N/a,N/a,N/a,N/a,N/a,28.0,0.66,0.08,16.2,255,76.1,710,87.0,74.0,55.6,13,5,12,5,39,3.68,7,0.66,23,14,N/a,12,12,0,12,8,488,8,63,158,272,64,N/a,N/a,56.3,324,1042,17,20,N/a,N/a,341,11,3,2,35,41,6,3,66.7
Solly March,ENG,Brighton,"FW,MF",30,168,8,1,0,0,2,0,0.1,0.3,5,2,20,0.00,0.00,0.05,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,22.5,60,63.2,222,87.5,57.1,38.9,3,2,4,4,7,3.77,2,1.08,6,3,N/a,3,3,0,3,2,118,3,12,33,73,7,N/a,N/a,75.0,57,167,2,3,N/a,N/a,67,2,2,3,20,7,1,2,33.3
Son Heung-min,KOR,Tottenham,FW,32,"2,004",28,23,7,9,1,0,7.0,8.2,87,104,259,0.31,0.40,0.31,N/a,N/a,N/a,N/a,N/a,45.3,1.08,0.11,17.0,703,79.0,2671,89.7,80.0,48.0,50,36,51,6,116,5.21,15,0.67,17,9,N/a,18,10,0,10,5,1093,15,110,347,646,117,N/a,N/a,48.8,732,2334,45,40,N/a,N/a,837,5,28,11,75,81,6,11,35.3
Stefan Ortega,GER,Manchester City,GK,32,"1,100",13,12,0,0,1,0,0.0,0.0,0,0,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,373,81.3,5597,97.1,96.9,51.3,0,6,0,0,0,0.00,0,0.00,0,0,N/a,1,0,0,0,0,492,383,489,3,0,0,N/a,N/a,N/a,323,864,0,0,N/a,N/a,309,1,2,0,0,8,2,0,100.0
Stephy Mavididi,ENG,Leicester City,FW,26,"1,615",30,16,4,1,2,0,1.8,2.6,91,57,138,0.22,0.06,0.10,N/a,N/a,N/a,N/a,N/a,26.9,0.39,0.15,16.1,460,75.0,1429,91.1,67.4,41.9,22,32,26,7,50,2.78,7,0.39,34,19,N/a,28,26,2,24,11,863,23,132,327,421,61,N/a,N/a,49.5,583,2355,40,27,N/a,N/a,623,18,18,3,69,83,9,15,37.5
Sven Botman,NED,Newcastle Utd,DF,25,233,5,3,0,0,1,0,0.0,0.0,0,3,0,0.00,0.00,0.01,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,11.7,119,88.1,812,85.1,98.1,70.0,0,9,0,0,0,0.00,0,0.00,6,4,N/a,1,2,1,1,4,168,24,70,93,6,5,N/a,N/a,33.3,85,178,1,0,N/a,N/a,107,4,2,0,0,8,11,6,64.7
Sávio,BRA,Manchester City,"FW,MF",21,"1,734",27,21,1,8,3,0,4.9,6.8,133,66,239,0.05,0.42,0.25,N/a,N/a,N/a,N/a,N/a,38.9,1.09,0.02,17.7,676,80.9,1700,89.8,80.1,57.4,44,19,47,8,107,5.55,15,0.78,22,16,N/a,9,13,2,11,6,1071,14,55,281,754,149,N/a,N/a,35.1,766,3494,44,73,N/a,N/a,834,17,27,3,81,79,1,2,33.3
Séamus Coleman,IRL,Everton,DF,36,197,3,2,0,0,1,0,0.6,0.0,1,8,2,0.00,0.00,0.26,N/a,N/a,N/a,N/a,N/a,100.0,0.46,0.00,10.5,57,72.2,504,93.1,77.4,37.5,0,6,0,0,2,0.91,1,0.46,2,1,N/a,1,5,3,2,1,100,11,39,43,19,2,N/a,N/a,20.0,43,109,1,0,N/a,N/a,51,0,1,0,3,7,1,1,50.0
Taiwo Awoniyi,NGA,Nott'ham Forest,FW,27,408,25,3,1,0,0,0,2.1,0.1,6,7,20,0.22,0.00,0.47,N/a,N/a,N/a,N/a,N/a,40.0,0.88,0.10,12.6,61,64.2,157,72.4,56.0,20.0,2,5,2,0,9,1.98,1,0.22,6,3,N/a,1,1,0,1,0,166,5,16,78,73,21,N/a,N/a,55.6,89,183,5,2,N/a,N/a,112,8,10,1,2,18,13,38,25.5
Tariq Lamptey,GHA,Brighton,DF,24,802,14,9,2,2,0,0,0.4,0.8,28,12,43,0.22,0.22,0.04,N/a,N/a,N/a,N/a,N/a,33.3,0.22,0.33,18.5,318,81.5,1230,93.0,79.6,48.6,5,11,5,4,16,1.79,3,0.34,14,10,N/a,15,14,7,7,6,502,27,151,211,143,11,N/a,N/a,57.1,272,918,13,3,N/a,N/a,281,13,10,0,25,36,1,13,7.1
Taylor Harwood-Bellis,ENG,Southampton,DF,23,"2,654",32,30,1,0,9,0,1.8,1.0,29,119,9,0.03,0.00,0.06,N/a,N/a,N/a,N/a,N/a,40.0,0.27,0.05,10.6,1807,87.9,12003,92.9,91.8,64.4,14,171,10,1,37,1.25,2,0.07,27,19,N/a,15,60,38,22,30,2349,313,1089,1092,178,40,N/a,N/a,0.0,1361,3731,27,0,N/a,N/a,1704,34,14,0,10,120,56,42,57.1
Thiago,BRA,Brentford,FW,23,142,5,1,0,0,0,0,0.1,0.1,3,2,4,0.00,0.00,0.06,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,14.7,31,70.5,59,69.6,76.9,75.0,2,1,1,0,2,1.27,0,0.00,3,2,N/a,1,2,0,2,2,64,6,12,26,27,3,N/a,N/a,25.0,35,42,2,1,N/a,N/a,39,3,3,1,1,10,6,4,60.0
Thomas Partey,GHA,Arsenal,"MF,DF",31,"2,527",32,28,4,2,4,0,2.0,1.9,32,171,47,0.14,0.07,0.07,N/a,N/a,N/a,N/a,N/a,30.4,0.25,0.17,19.5,1525,87.3,6528,92.9,88.6,66.4,17,151,33,2,58,2.07,13,0.46,80,49,N/a,28,25,7,18,33,1989,66,418,1098,485,28,N/a,N/a,27.3,1125,3235,37,3,N/a,N/a,1416,40,28,1,12,123,26,22,54.2
Tim Iroegbunam,ENG,Everton,MF,21,567,17,5,0,1,4,0,0.2,0.2,8,14,9,0.00,0.16,0.04,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,22.5,110,71.9,589,72.5,84.0,68.4,3,10,1,0,10,1.59,1,0.16,28,13,N/a,9,17,4,13,15,260,21,82,124,60,12,N/a,N/a,40.0,122,360,10,2,N/a,N/a,110,15,12,0,1,48,11,4,73.3
Timo Werner,GER,Tottenham,"FW,MF",29,516,18,4,0,3,0,0,1.0,2.5,42,30,89,0.00,0.52,0.17,N/a,N/a,N/a,N/a,N/a,37.5,0.52,0.00,18.2,158,66.9,597,82.5,70.9,38.9,10,3,15,2,18,3.13,3,0.52,6,4,N/a,10,10,1,9,1,298,8,24,78,203,33,N/a,N/a,42.1,215,1062,24,18,N/a,N/a,227,3,5,5,28,18,0,1,0.0
Timothy Castagne,BEL,Fulham,DF,29,"1,649",24,17,0,1,1,0,0.4,1.2,17,62,67,0.00,0.05,0.02,N/a,N/a,N/a,N/a,N/a,37.5,0.16,0.00,14.0,780,81.8,3910,89.8,85.9,49.3,9,51,5,3,25,1.36,3,0.16,46,29,N/a,19,15,6,9,22,1164,92,449,462,259,32,N/a,N/a,41.7,547,1044,15,2,N/a,N/a,665,15,6,1,37,57,34,35,49.3
Toby Collyer,ENG,Manchester Utd,MF,21,179,6,0,0,0,0,0,0.2,0.3,0,5,2,0.00,0.00,0.09,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,6.2,76,82.6,121,86.0,86.5,75.0,2,3,1,0,5,2.50,0,0.00,12,9,N/a,1,2,1,1,2,129,9,46,59,25,3,N/a,N/a,50.0,68,56,0,0,N/a,N/a,71,2,4,0,0,17,3,1,75.0
Tom Cairney,SCO,Fulham,MF,34,494,22,2,1,0,3,1,0.2,1.0,14,47,29,0.18,0.00,0.04,N/a,N/a,N/a,N/a,N/a,40.0,0.36,0.20,23.3,482,90.4,1648,93.4,93.3,74.4,10,46,7,3,28,5.08,3,0.54,11,5,N/a,3,5,1,4,4,576,6,83,305,196,12,N/a,N/a,33.3,385,884,15,4,N/a,N/a,468,8,17,0,17,44,4,8,33.3
Tommy Doyle,ENG,Wolves,MF,23,488,24,3,0,1,1,0,0.6,0.5,6,40,4,0.00,0.18,0.10,N/a,N/a,N/a,N/a,N/a,22.2,0.37,0.00,24.5,321,81.9,2010,94.1,89.0,65.6,7,44,3,0,17,3.13,3,0.55,11,6,N/a,9,11,5,6,5,463,22,128,258,80,4,N/a,N/a,11.1,260,578,3,0,N/a,N/a,303,5,5,0,15,43,1,6,14.3
Tomáš Souček,CZE,West Ham,MF,30,"2,330",32,27,8,1,8,0,6.0,1.0,6,70,65,0.31,0.04,0.23,N/a,N/a,N/a,N/a,N/a,26.9,0.54,0.15,12.0,656,73.7,3011,79.7,76.3,68.9,14,59,8,1,43,1.66,3,0.12,42,19,N/a,17,35,17,18,18,1168,110,315,577,280,97,N/a,N/a,45.5,449,470,10,3,N/a,N/a,696,44,24,4,13,57,95,68,58.3
Tosin Adarabioyo,ENG,Chelsea,DF,27,"1,229",20,13,1,1,3,0,0.9,0.2,5,37,1,0.07,0.07,0.07,N/a,N/a,N/a,N/a,N/a,16.7,0.15,0.08,12.5,988,91.4,6479,95.7,94.9,61.1,1,53,1,0,12,0.88,1,0.07,14,10,N/a,4,9,7,2,10,1198,160,570,603,26,13,N/a,N/a,0.0,713,1690,2,0,N/a,N/a,916,8,6,1,0,34,36,26,58.1
Toti Gomes,POR,Wolves,DF,26,"2,344",28,27,0,1,6,0,0.7,0.9,21,67,15,0.00,0.04,0.03,N/a,N/a,N/a,N/a,N/a,28.6,0.08,0.00,11.6,1272,85.1,7394,91.3,92.4,49.3,9,72,5,3,20,0.77,1,0.04,53,38,N/a,7,28,17,11,23,1772,207,847,851,95,15,N/a,N/a,25.0,1028,2641,18,0,N/a,N/a,1202,23,14,4,13,100,48,24,66.7
Trent Alexander-Arnold,ENG,Liverpool,DF,26,"2,296",31,28,3,6,5,0,1.8,6.7,50,221,90,0.12,0.24,0.07,N/a,N/a,N/a,N/a,N/a,18.6,0.31,0.07,23.3,1397,73.6,10934,89.9,76.2,48.6,50,198,63,20,94,3.68,10,0.39,70,49,N/a,55,26,9,17,30,2173,86,578,976,633,44,N/a,N/a,48.6,1139,2780,35,9,N/a,N/a,1384,11,8,1,145,129,3,13,18.8
Trevoh Chalobah,ENG,Crystal Palace,DF,25,"1,060",12,12,3,0,1,0,1.2,0.4,11,34,6,0.25,0.00,0.10,N/a,N/a,N/a,N/a,N/a,36.4,0.34,0.27,15.1,349,79.0,2195,88.7,85.2,51.2,4,27,2,1,11,0.93,0,0.00,20,16,N/a,11,19,9,10,19,594,66,275,276,51,14,N/a,N/a,20.0,278,661,9,1,N/a,N/a,317,10,15,1,7,56,22,19,53.7
Tyler Adams,USA,Bournemouth,MF,26,"1,710",25,18,0,3,7,0,1.6,1.0,12,65,9,0.00,0.16,0.08,N/a,N/a,N/a,N/a,N/a,25.0,0.11,0.00,16.1,757,83.6,2893,88.7,88.0,54.7,16,57,2,1,37,1.95,4,0.21,75,46,N/a,31,33,10,23,32,1151,53,308,661,194,17,N/a,N/a,56.3,554,1183,17,1,N/a,N/a,630,41,19,0,3,100,29,17,63.0
Tyler Dibling,ENG,Southampton,"FW,MF",19,"1,742",31,18,2,0,6,0,2.5,1.5,68,61,93,0.10,0.00,0.13,N/a,N/a,N/a,N/a,N/a,32.1,0.46,0.07,19.3,472,80.7,1457,90.2,85.1,43.5,20,25,20,1,56,2.89,4,0.21,34,20,N/a,10,19,5,14,8,823,25,110,372,360,41,N/a,N/a,36.5,533,2129,49,26,N/a,N/a,617,28,49,2,28,75,10,21,32.3
Tyler Fredricson,ENG,Manchester Utd,DF,20,165,2,2,0,0,0,0,0.0,0.0,2,8,0,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,110,90.2,434,94.0,91.5,88.9,0,8,0,0,3,1.63,0,0.00,5,3,N/a,1,2,0,2,1,141,11,64,68,9,1,N/a,N/a,0.0,86,114,1,0,N/a,N/a,95,0,2,0,0,12,7,5,58.3
Tyrell Malacia,NED,Manchester Utd,DF,25,100,3,2,0,0,1,0,0.0,0.0,3,3,6,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,49,89.1,260,93.9,92.9,100.0,1,7,1,0,2,1.80,0,0.00,2,1,N/a,1,0,0,0,1,62,2,20,27,15,0,N/a,N/a,0.0,37,118,2,0,N/a,N/a,43,3,2,0,1,3,0,0,N/a
Tyrick Mitchell,ENG,Crystal Palace,DF,25,"2,942",35,35,0,4,2,0,1.2,5.7,56,64,166,0.00,0.12,0.04,N/a,N/a,N/a,N/a,N/a,18.2,0.06,0.00,13.4,929,72.3,5620,84.5,75.1,42.2,38,46,32,15,69,2.11,6,0.18,87,54,N/a,20,62,12,50,14,1656,108,573,637,459,42,N/a,N/a,48.5,766,1590,33,9,N/a,N/a,850,20,24,2,100,156,18,21,46.2
Tyrique George,ENG,Chelsea,FW,19,103,7,0,1,1,1,0,0.2,0.7,9,2,18,0.87,0.87,0.17,N/a,N/a,N/a,N/a,N/a,33.3,0.87,0.33,15.0,38,82.6,72,91.3,82.4,0.0,5,0,1,0,6,5.24,1,0.87,2,0,N/a,1,0,0,0,1,56,1,10,14,33,8,N/a,N/a,25.0,38,208,1,5,N/a,N/a,44,2,0,1,3,3,0,3,0.0
Tyrone Mings,ENG,Aston Villa,DF,32,"1,051",13,11,0,0,1,0,0.8,0.2,6,39,0,0.00,0.00,0.07,N/a,N/a,N/a,N/a,N/a,11.1,0.09,0.00,11.8,581,88.6,3319,92.7,94.3,54.0,3,47,5,0,17,1.45,2,0.17,6,5,N/a,0,13,11,2,7,767,139,388,340,43,15,N/a,N/a,0.0,472,1333,12,0,N/a,N/a,523,3,9,0,1,33,26,21,55.3
Valentino Livramento,ENG,Newcastle Utd,DF,22,"2,570",34,29,0,1,1,0,0.2,2.3,73,144,98,0.00,0.04,0.01,N/a,N/a,N/a,N/a,N/a,20.0,0.04,0.00,20.6,1278,85.0,6131,90.6,86.3,57.0,21,98,24,5,39,1.37,2,0.07,52,34,N/a,26,34,10,24,21,1796,108,572,822,427,33,N/a,N/a,41.7,935,2984,39,11,N/a,N/a,1041,6,34,2,45,173,23,31,42.6
Victor Bernth Kristiansen,DEN,Leicester City,DF,22,"2,380",28,28,0,1,1,0,0.3,1.4,39,69,75,0.00,0.04,0.01,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,17.7,1007,77.6,5793,89.6,80.1,41.4,18,74,23,18,41,1.55,3,0.11,85,50,N/a,40,37,14,23,40,1581,113,564,711,319,15,N/a,N/a,47.1,800,1806,25,5,N/a,N/a,872,17,17,3,96,97,19,42,31.1
Victor Lindelöf,SWE,Manchester Utd,DF,30,485,13,4,0,0,1,0,0.0,0.1,1,10,1,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,205,93.2,881,92.3,96.5,66.7,3,7,2,1,4,0.75,0,0.00,5,1,N/a,1,4,2,2,7,276,41,161,106,9,3,N/a,N/a,N/a,148,282,1,0,N/a,N/a,181,7,1,0,1,12,10,13,43.5
Virgil van Dijk,NED,Liverpool,DF,33,"3,150",35,35,3,1,4,0,2.2,0.7,18,180,6,0.09,0.03,0.06,N/a,N/a,N/a,N/a,N/a,29.6,0.23,0.11,13.1,2543,91.6,18087,96.1,95.5,67.2,12,269,6,0,47,1.34,4,0.11,35,17,N/a,9,25,14,11,54,3125,425,1257,1719,159,48,N/a,N/a,40.0,1746,4531,22,3,N/a,N/a,2153,16,12,0,1,110,111,46,70.7
Vitaliy Mykolenko,UKR,Everton,DF,25,"2,812",32,32,0,1,3,0,0.4,1.6,31,105,90,0.00,0.03,0.01,N/a,N/a,N/a,N/a,N/a,0.0,0.00,0.00,20.5,908,74.4,6186,89.0,74.2,44.7,20,96,37,22,38,1.22,3,0.10,55,33,N/a,25,24,9,15,37,1541,115,480,656,416,30,N/a,N/a,45.0,636,1432,27,1,N/a,N/a,783,20,28,3,91,79,46,36,56.1
